Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Robert Whaley,Walsh,2005,30,C,22,13.0,0.348,0.35,0.0,0.66,5.8,6.28,0.396,0.348,0.007,0.341,-0.6,0.0,0.0
Orien Greene,Louisiana,2005,31,SG,104,24.7,0.409,0.497,0.316,0.726,7.0,4.55,0.516,0.486,0.487,0.26,2.3,0.11,0.225
LaMarcus Aldridge,Texas,2006,1,C,53,30.2,0.586,0.586,0.0,0.649,13.5,7.28,0.605,0.586,0.0,0.527,4.7,0.0,0.0
Adam Morrison,Gonzaga,2006,2,PF,95,30.6,0.503,0.551,0.368,0.761,19.7,4.24,0.591,0.552,0.262,0.397,10.5,1.12,0.337
Tyrus Thomas,LSU,2006,3,PF,32,25.9,0.608,0.606,1.0,0.657,12.3,8.77,0.627,0.61,0.004,0.548,2.9,0.0,0.0
Shelden Williams,Duke,2006,4,PF,139,28.1,0.572,0.574,0.333,0.694,13.9,9.51,0.611,0.573,0.01,0.659,12.4,0.02,0.5
Brandon Roy,Washington,2006,5,SG,103,27.5,0.512,0.541,0.344,0.765,14.3,6.83,0.585,0.537,0.148,0.45,7.8,0.96,0.377
Randy Foye,Villanova,2006,6,PG,131,31.3,0.399,0.441,0.329,0.781,15.0,8.37,0.505,0.461,0.378,0.291,4.7,0.83,0.368
Rudy Gay,UConn,2006,7,SF,64,29.8,0.461,0.483,0.378,0.721,13.6,7.1,0.538,0.501,0.214,0.353,3.2,0.67,0.364
Patrick O'Bryant,Bradley,2006,8,C,52,24.3,0.554,0.554,0.0,0.687,11.6,4.97,0.582,0.554,0.0,0.411,3.4,0.0,0.0
J.J. Redick,Duke,2006,9,PG,139,34.0,0.433,0.472,0.406,0.912,19.9,9.51,0.615,0.553,0.591,0.381,18.4,0.9,0.388
Hilton Armstrong,UConn,2006,10,C,131,15.1,0.563,0.565,0.333,0.578,4.7,7.4,0.575,0.565,0.007,0.682,3.1,0.0,0.0
Ronnie Brewer,Arkansas,2006,11,SG,90,33.0,0.462,0.511,0.34,0.671,15.7,5.35,0.546,0.511,0.287,0.455,6.2,0.0,0.0
Cedric Simmons,NC State,2006,12,PF,63,18.9,0.565,0.566,0.5,0.652,7.7,7.4,0.599,0.568,0.013,0.734,3.0,0.0,0.0
Rodney Carney,Memphis,2006,13,SF,133,27.6,0.415,0.468,0.362,0.717,14.3,5.22,0.533,0.506,0.499,0.26,6.8,0.37,0.347
Shawne Williams,Memphis,2006,14,SG,36,27.8,0.416,0.489,0.312,0.786,13.2,4.24,0.534,0.48,0.411,0.387,1.7,0.41,0.365
Quincy Douby,Rutgers,2006,15,PG,95,32.1,0.432,0.473,0.389,0.82,17.8,6.93,0.562,0.526,0.481,0.251,8.7,0.29,0.24
Renaldo Balkman,South Carolina,2006,16,SF,104,21.1,0.553,0.581,0.291,0.533,7.4,7.11,0.566,0.567,0.096,0.396,4.3,0.07,0.185
Rajon Rondo,Kentucky,2006,17,PG,68,28.1,0.493,0.544,0.283,0.577,9.6,8.49,0.536,0.521,0.196,0.44,2.7,0.08,0.207
Marcus Williams,UConn,2006,18,PG,70,27.9,0.402,0.413,0.375,0.791,9.0,7.32,0.518,0.455,0.285,0.418,2.2,0.58,0.282
Josh Boone,UConn,2006,19,PF,103,25.9,0.578,0.578,0.0,0.559,9.3,7.32,0.58,0.578,0.0,0.528,5.1,0.0,0.0
Kyle Lowry,Villanova,2006,20,PG,57,26.7,0.449,0.463,0.325,0.737,9.5,8.83,0.531,0.465,0.099,0.566,2.1,0.3,0.375
Shannon Brown,Michigan State,2006,21,SG,97,28.0,0.457,0.503,0.364,0.831,12.2,7.69,0.565,0.518,0.332,0.319,5.9,0.3,0.28
Jordan Farmar,UCLA,2006,22,PG,66,32.2,0.41,0.463,0.333,0.76,13.3,7.68,0.526,0.478,0.409,0.369,3.3,0.62,0.328
Maurice Ager,Michigan State,2006,23,SG,124,25.6,0.441,0.492,0.38,0.775,12.5,8.19,0.566,0.527,0.449,0.333,7.8,0.16,0.333
Mardy Collins,Temple,2006,24,SF,125,37.5,0.399,0.457,0.292,0.624,15.4,5.33,0.473,0.45,0.347,0.268,1.4,0.25,0.277
Steve Novak,Marquette,2006,25,PF,126,27.0,0.456,0.443,0.461,0.931,12.4,6.07,0.66,0.622,0.722,0.245,13.1,0.37,0.333
Solomon Jones,South Florida,2006,26,C,59,31.2,0.505,0.507,0.0,0.693,9.8,3.34,0.548,0.505,0.005,0.502,2.7,0.0,0.0
Paul Davis,Michigan State,2006,27,PF,130,25.8,0.538,0.549,0.271,0.763,13.2,8.19,0.597,0.543,0.042,0.547,10.7,0.0,0.0
Craig Smith,Boston College,2006,28,PF,130,34.0,0.558,0.572,0.239,0.643,18.1,6.73,0.583,0.563,0.041,0.463,13.2,0.0,0.0
Bobby Jones,Washington,2006,29,SF,125,24.1,0.501,0.536,0.367,0.707,9.8,6.83,0.58,0.539,0.209,0.523,6.2,0.02,0.111
David Noel,UNC,2006,30,SF,127,23.2,0.532,0.6,0.354,0.587,6.9,10.19,0.586,0.581,0.276,0.306,4.9,0.25,0.321
Daniel Gibson,Texas,2006,31,PG,68,33.0,0.411,0.451,0.387,0.741,13.8,7.28,0.566,0.533,0.631,0.324,4.9,0.87,0.419
Alexander Johnson,Florida State,2006,32,PF,92,21.0,0.52,0.535,0.308,0.667,9.8,7.38,0.573,0.53,0.066,0.703,4.7,0.0,0.0
Dee Brown,Illinois,2006,33,PG,137,34.3,0.422,0.498,0.36,0.725,13.2,7.15,0.543,0.521,0.55,0.216,8.1,0.12,0.214
Paul Millsap,Louisiana Tech,2006,34,PF,92,35.2,0.577,0.58,0.375,0.62,18.6,2.11,0.594,0.579,0.014,0.546,10.9,0.01,0.333
Leon Powe,California,2006,35,PF,54,32.5,0.492,0.495,0.3,0.672,7.8,7.75,0.549,0.495,0.015,0.731,4.4,0.0,0.0
Hassan Adams,Arizona,2006,36,SG,130,27.8,0.499,0.535,0.311,0.704,14.0,8.42,0.545,0.524,0.16,0.23,6.8,0.0,0.0
Greg Oden,Ohio State,2007,1,C,32,28.9,0.616,0.616,0.0,0.628,15.7,9.03,0.626,0.616,0.0,0.638,3.6,0.0,0.0
Kevin Durant,Texas,2007,2,SG,35,35.9,0.473,0.505,0.404,0.816,25.8,6.12,0.587,0.536,0.314,0.396,4.7,0.74,0.288
Al Horford,Florida,2007,3,C,109,25.7,0.586,0.589,0.0,0.619,10.3,6.65,0.601,0.586,0.006,0.613,7.0,0.0,0.0
Mike Conley,Ohio State,2007,4,PG,39,31.6,0.518,0.579,0.304,0.694,11.3,9.03,0.584,0.552,0.223,0.466,2.7,0.57,0.33
Jeff Green,Georgetown,2007,5,SF,102,33.2,0.488,0.531,0.359,0.7,13.1,7.65,0.565,0.533,0.249,0.402,7.5,0.26,0.276
Corey Brewer,Florida,2007,6,SF,108,27.2,0.48,0.536,0.356,0.708,11.3,6.65,0.571,0.535,0.312,0.431,6.4,0.09,0.194
Brandan Wright,UNC,2007,7,PF,37,27.4,0.646,0.646,0.0,0.567,14.7,9.3,0.637,0.646,0.0,0.445,3.7,0.0,0.0
Joakim Noah,Florida,2007,8,C,108,21.1,0.616,0.617,0.5,0.684,10.5,6.65,0.642,0.617,0.003,0.679,8.7,0.0,0.0
Spencer Hawes,Washington,2007,9,C,31,28.9,0.532,0.533,0.333,0.755,14.9,6.5,0.563,0.533,0.008,0.27,2.0,0.06,0.19
Acie Law,Texas A&M,2007,10,PG,122,30.8,0.466,0.502,0.357,0.76,13.7,4.53,0.551,0.51,0.246,0.35,7.9,0.12,0.206
Thaddeus Young,Georgia Tech,2007,11,PF,31,29.6,0.478,0.498,0.419,0.743,14.4,9.36,0.552,0.531,0.251,0.189,1.8,0.08,0.316
Julian Wright,Kansas,2007,12,SF,71,24.1,0.555,0.565,0.188,0.591,10.4,7.23,0.566,0.557,0.028,0.32,3.7,0.18,0.417
Al Thornton,Florida State,2007,13,PF,124,22.0,0.528,0.543,0.438,0.701,12.3,7.69,0.593,0.559,0.139,0.505,8.9,0.54,0.331
Rodney Stuckey,Eastern Washington,2007,14,PG,59,33.1,0.472,0.54,0.317,0.806,24.4,-1.48,0.581,0.52,0.306,0.474,7.2,0.05,0.28
Nick Young,USC,2007,15,SG,96,31.1,0.484,0.518,0.368,0.764,15.5,6.92,0.563,0.525,0.226,0.326,7.3,0.53,0.4
Sean Williams,Boston College,2007,16,C,69,20.5,0.577,0.577,0.0,0.605,5.5,7.24,0.592,0.577,0.0,0.699,2.2,0.0,0.0
Javaris Crittenton,Georgia Tech,2007,17,SG,32,31.3,0.45,0.488,0.356,0.783,14.4,9.36,0.552,0.501,0.288,0.393,2.0,0.2,0.27
Jason Smith,Colorado State,2007,18,PF,87,27.9,0.548,0.556,0.308,0.751,14.7,3.95,0.604,0.553,0.031,0.578,8.1,0.05,0.286
Daequan Cook,Ohio State,2007,19,SG,39,19.7,0.445,0.465,0.415,0.697,9.8,9.03,0.548,0.53,0.41,0.208,1.6,1.34,0.332
Jared Dudley,Boston College,2007,20,PF,130,36.4,0.504,0.548,0.365,0.731,15.9,7.22,0.595,0.548,0.24,0.573,12.9,0.12,0.22
Wilson Chandler,DePaul,2007,21,SF,59,31.1,0.445,0.487,0.303,0.659,12.9,8.64,0.504,0.48,0.231,0.262,1.6,0.26,0.3
Morris Almond,Rice,2007,22,SG,121,27.1,0.492,0.514,0.435,0.824,15.1,2.25,0.602,0.552,0.276,0.398,11.6,0.11,0.25
Aaron Brooks,Oregon,2007,23,PG,115,32.7,0.43,0.479,0.374,0.834,13.1,6.68,0.565,0.518,0.471,0.315,7.7,0.71,0.33
Arron Afflalo,UCLA,2007,24,SG,104,32.7,0.457,0.539,0.373,0.781,14.8,8.4,0.586,0.549,0.493,0.33,9.7,0.13,0.208
Alando Tucker,Wisconsin,2007,25,SF,134,32.1,0.48,0.522,0.307,0.636,16.5,7.56,0.54,0.51,0.198,0.491,9.3,0.17,0.25
Carl Landry,Purdue,2007,26,PF,64,29.9,0.602,0.628,0.233,0.714,18.4,8.86,0.647,0.61,0.064,0.752,9.8,0.0,0.0
Nick Fazekas,Nevada,2007,27,PF,131,30.1,0.532,0.579,0.341,0.815,18.8,3.05,0.612,0.566,0.201,0.395,16.7,0.0,0.0
Glen Davis,LSU,2007,28,PF,95,32.0,0.496,0.51,0.31,0.694,16.7,7.99,0.553,0.507,0.074,0.541,7.1,0.0,0.0
Jermareo Davidson,Alabama,2007,29,PF,126,28.7,0.467,0.471,0.211,0.717,10.1,7.83,0.517,0.469,0.019,0.434,3.5,0.0,0.0
Chris Richard,Florida,2007,30,PF,141,15.6,0.665,0.665,0.0,0.631,4.9,7.28,0.665,0.665,0.0,0.46,5.8,0.0,0.0
Dominic Mcguire,Fresno State,2007,31,PF,86,25.0,0.462,0.5,0.253,0.556,8.7,4.16,0.5,0.481,0.154,0.447,1.4,0.01,0.167
Aaron Gray,Pitt,2007,32,C,113,20.9,0.55,0.55,0.0,0.595,9.8,6.94,0.565,0.55,0.0,0.513,5.6,0.0,0.0
D.J. Strawberry,Maryland,2007,33,SG,111,26.9,0.461,0.503,0.33,0.64,10.1,8.47,0.533,0.501,0.245,0.47,3.9,0.18,0.24
Derrick Rose,Memphis,2008,1,PG,40,29.2,0.477,0.521,0.337,0.712,14.9,5.76,0.56,0.517,0.239,0.47,2.8,0.2,0.222
Michael Beasley,Kansas State,2008,2,PF,33,31.5,0.532,0.562,0.379,0.774,26.2,7.79,0.61,0.563,0.165,0.484,5.4,0.41,0.407
O.J. Mayo,USC,2008,3,SG,33,36.8,0.442,0.464,0.409,0.803,20.7,8.59,0.562,0.524,0.401,0.284,3.4,1.77,0.384
Russell Westbrook,UCLA,2008,4,PG,75,21.9,0.464,0.491,0.354,0.685,8.3,8.77,0.532,0.499,0.2,0.365,2.3,0.43,0.271
Kevin Love,UCLA,2008,5,C,39,29.6,0.559,0.611,0.354,0.767,17.5,7.71,0.644,0.595,0.202,0.635,5.6,0.02,0.105
Eric Gordon,Indiana,2008,6,SG,32,34.7,0.433,0.525,0.337,0.834,20.9,6.08,0.601,0.515,0.489,0.652,4.2,1.68,0.389
Joe Alexander,West Virginia,2008,7,SF,82,25.3,0.447,0.488,0.295,0.765,12.1,7.04,0.522,0.478,0.211,0.326,2.9,0.27,0.348
D.J. Augustin,Texas,2008,8,PG,73,36.5,0.443,0.463,0.402,0.808,16.9,7.35,0.569,0.51,0.331,0.447,6.2,1.5,0.439
Brook Lopez,Stanford,2008,9,C,53,28.0,0.48,0.491,0.143,0.764,16.0,8.0,0.532,0.482,0.031,0.384,2.9,0.0,0.0
Jerryd Bayless,Arizona,2008,10,PG,30,35.7,0.458,0.489,0.407,0.839,19.7,10.22,0.612,0.536,0.384,0.59,4.0,0.13,0.259
Jason Thompson,Rider,2008,11,PF,122,32.1,0.526,0.544,0.291,0.667,16.7,-3.38,0.569,0.536,0.071,0.511,9.8,0.0,0.0
Brandon Rush,Kansas,2008,12,SG,109,31.3,0.449,0.458,0.435,0.733,13.6,7.56,0.558,0.535,0.395,0.229,6.8,1.04,0.373
Anthony Randolph,LSU,2008,13,PF,31,32.8,0.464,0.483,0.105,0.693,15.6,5.66,0.511,0.467,0.048,0.421,1.1,0.0,0.0
Robin Lopez,Stanford,2008,14,C,67,24.3,0.511,0.511,0.5,0.612,9.0,8.0,0.535,0.512,0.004,0.452,2.2,0.0,0.0
Marreese Speights,Florida,2008,15,C,69,15.4,0.633,0.633,0.0,0.688,9.5,6.16,0.647,0.633,0.0,0.371,4.9,0.03,0.25
Roy Hibbert,Georgetown,2008,16,C,136,23.3,0.603,0.602,1.0,0.68,10.9,7.54,0.626,0.605,0.003,0.506,11.7,0.0,0.0
Javale McGee,Nevada,2008,17,C,66,18.7,0.542,0.563,0.356,0.514,8.7,0.49,0.557,0.56,0.104,0.405,2.4,0.0,0.0
J.J. Hickson,NC State,2008,18,C,31,28.7,0.591,0.593,0.0,0.677,14.8,9.06,0.621,0.591,0.004,0.707,3.2,0.0,0.0
Ryan Anderson,California,2008,19,PF,66,33.0,0.484,0.532,0.396,0.841,18.7,8.56,0.605,0.554,0.356,0.379,7.5,1.05,0.365
Courtney Lee,Western Kentucky,2008,20,SG,127,31.2,0.464,0.498,0.401,0.817,17.6,-1.08,0.572,0.535,0.353,0.275,11.1,1.06,0.404
Kosta Koufos,Ohio State,2008,21,C,37,27.1,0.508,0.535,0.349,0.68,14.4,7.97,0.551,0.533,0.144,0.229,2.3,0.0,0.0
George Hill,IUPUI,2008,22,PG,95,33.3,0.529,0.565,0.404,0.785,17.0,-3.26,0.628,0.574,0.22,0.575,12.0,0.31,0.329
Darrell Arthur,Kansas,2008,23,PF,78,21.9,0.541,0.552,0.118,0.676,11.3,7.53,0.564,0.543,0.025,0.312,4.1,0.0,0.0
Donte Greene,Syracuse,2008,24,SF,35,35.8,0.418,0.492,0.345,0.707,17.7,7.96,0.531,0.505,0.501,0.255,1.9,0.47,0.26
D.J. White,Indiana,2008,25,PF,99,30.6,0.562,0.563,0.333,0.69,14.6,7.95,0.595,0.563,0.003,0.52,9.1,0.0,0.0
J.R. Giddens,New Mexico,2008,26,SF,122,29.0,0.464,0.551,0.35,0.602,13.3,6.22,0.549,0.54,0.435,0.232,6.8,0.0,0.0
Mario Chalmers,Kansas,2008,27,PG,110,28.5,0.486,0.545,0.419,0.767,12.2,7.56,0.619,0.584,0.47,0.389,9.5,1.39,0.367
DeAndre Jordan,Texas A&M,2008,28,C,35,20.1,0.617,0.617,0.0,0.437,7.9,7.46,0.58,0.617,0.0,0.65,1.6,0.0,0.0
Luc Mbah a Moute,UCLA,2008,29,SF,107,29.5,0.503,0.545,0.215,0.668,8.7,8.6,0.544,0.516,0.127,0.363,4.1,0.0,0.0
Kyle Weaver,Washington State,2008,30,SG,121,29.8,0.464,0.505,0.277,0.716,9.6,6.88,0.54,0.489,0.179,0.508,5.4,0.57,0.344
Chris Douglas-Roberts,Memphis,2008,31,SF,109,26.1,0.54,0.579,0.372,0.725,14.2,4.64,0.611,0.575,0.191,0.485,10.0,0.07,0.25
Sean Singletery,Virginia,2008,32,PG,123,32.8,0.406,0.433,0.362,0.846,16.9,7.98,0.546,0.476,0.388,0.428,8.5,0.27,0.4
Henry Walker,Kansas State,2008,33,SG,37,26.6,0.456,0.52,0.285,0.727,15.3,6.66,0.533,0.494,0.271,0.355,1.8,0.0,0.0
Darnell Jackson,Kansas,2008,34,SF,125,16.6,0.58,0.583,0.333,0.685,6.8,8.38,0.613,0.582,0.011,0.61,5.6,0.0,0.0
Mike Taylor,Iowa State,2008,35,PG,31,35.0,0.376,0.391,0.36,0.682,16.0,5.19,0.495,0.464,0.487,0.294,0.9,0.25,0.325
Blake Griffin,Oklahoma,2009,1,PF,68,30.9,0.618,0.622,0.3,0.589,18.8,7.37,0.62,0.62,0.013,0.665,8.9,0.09,0.292
Hasheem Thabeet,UConn,2009,2,C,100,29.3,0.611,0.611,0.0,0.625,10.3,7.14,0.624,0.611,0.0,0.844,7.2,0.0,0.0
James Harden,Arizona State,2009,3,SG,69,35.0,0.506,0.57,0.376,0.755,19.0,7.05,0.618,0.568,0.329,0.6,10.0,1.22,0.375
Tyreke Evans,Memphis,2009,4,SG,37,29.0,0.455,0.514,0.274,0.711,17.1,4.63,0.529,0.489,0.246,0.384,2.4,0.5,0.255
Jonny Flynn,Syracuse,2009,5,PG,73,36.5,0.46,0.525,0.333,0.782,16.6,8.72,0.567,0.516,0.34,0.416,5.9,0.95,0.358
Stephen Curry,Davidson,2009,6,PG,104,32.6,0.467,0.53,0.412,0.876,25.3,-1.31,0.62,0.578,0.538,0.293,18.0,2.08,0.437
Jordan Hill,Arizona,2009,7,PF,97,27.0,0.578,0.578,0.0,0.636,12.5,9.93,0.593,0.578,0.0,0.405,7.1,0.0,0.0
DeMar DeRozan,USC,2009,8,SG,35,33.4,0.523,0.562,0.167,0.646,13.9,9.15,0.555,0.531,0.098,0.401,2.4,0.05,0.25
Terrence Williams,Louisville,2009,9,SF,140,32.2,0.4,0.457,0.32,0.589,11.2,7.65,0.484,0.467,0.422,0.254,1.9,0.4,0.31
Gerald Henderson,Duke,2009,10,SG,103,25.3,0.458,0.493,0.329,0.706,12.3,9.61,0.533,0.493,0.211,0.4,4.3,0.09,0.211
Tyler Hansbrough,UNC,2009,11,PF,142,30.9,0.536,0.541,0.316,0.791,20.2,8.39,0.613,0.539,0.022,0.708,17.2,0.0,0.0
Earl Clark,Louisville,2009,12,PF,104,26.7,0.467,0.512,0.298,0.64,10.6,8.03,0.524,0.498,0.21,0.366,3.6,0.04,0.4
Austin Daye,Gonzaga,2009,13,SF,67,22.5,0.477,0.495,0.422,0.79,11.6,2.85,0.575,0.53,0.255,0.364,4.1,0.42,0.305
James Johnson,Wake Forest,2009,14,PF,61,29.9,0.515,0.587,0.296,0.693,14.8,8.09,0.575,0.551,0.248,0.32,4.6,0.23,0.326
Jrue Holiday,UCLA,2009,15,PG,35,27.1,0.45,0.528,0.307,0.726,8.5,7.18,0.532,0.504,0.353,0.249,1.2,0.85,0.39
Ty Lawson,UNC,2009,16,PG,105,27.0,0.517,0.568,0.403,0.78,13.1,8.59,0.624,0.579,0.31,0.482,9.0,0.52,0.41
Jeff Teague,Wake Forest,2009,17,PG,61,30.9,0.462,0.477,0.421,0.812,16.4,8.09,0.586,0.518,0.268,0.529,5.6,0.1,0.219
Eric Maynor,VCU,2009,18,PG,130,30.7,0.449,0.477,0.37,0.791,15.0,-0.76,0.555,0.498,0.264,0.437,9.8,0.27,0.31
Darren Collison,UCLA,2009,19,PG,142,29.2,0.475,0.494,0.435,0.851,11.5,8.25,0.594,0.544,0.318,0.346,11.0,0.61,0.4
Byron Mullens,Ohio State,2009,20,PF,33,20.3,0.638,0.642,0.0,0.559,8.8,8.23,0.629,0.638,0.005,0.495,2.3,0.0,0.0
Taj Gibson,USC,2009,21,PF,105,32.7,0.58,0.58,0.0,0.629,12.4,8.54,0.597,0.58,0.0,0.557,8.4,0.0,0.0
DeMarre Carroll,Missouri,2009,22,SF,134,24.5,0.535,0.559,0.281,0.603,11.2,7.11,0.562,0.547,0.086,0.416,7.0,0.0,0.0
Wayne Ellington,UNC,2009,23,SG,115,28.5,0.463,0.513,0.397,0.809,14.7,8.59,0.577,0.549,0.434,0.216,8.0,0.84,0.395
Toney Douglas,Florida State,2009,24,PG,130,34.2,0.442,0.483,0.376,0.802,16.8,7.61,0.56,0.513,0.382,0.344,10.6,1.21,0.389
Jeff Ayres,Arizona State,2009,25,PF,126,30.2,0.58,0.585,0.0,0.764,12.6,7.31,0.62,0.58,0.009,0.454,12.0,0.0,0.0
Jermaine Taylor,UCF,2009,26,SG,122,25.8,0.466,0.536,0.376,0.764,16.2,0.56,0.577,0.548,0.438,0.264,10.6,0.16,0.227
Dante Cunningham,Villanova,2009,27,PF,139,27.2,0.524,0.525,0.333,0.693,9.6,8.7,0.561,0.524,0.003,0.449,6.2,0.0,0.0
DaJuan Summers,Georgetown,2009,28,PF,101,27.6,0.439,0.522,0.353,0.727,11.2,8.56,0.565,0.526,0.49,0.407,5.9,0.34,0.357
Sam Young,Pitt,2009,29,SF,143,25.5,0.498,0.539,0.356,0.692,13.2,8.0,0.564,0.538,0.225,0.339,9.1,0.14,0.196
Dejuan Blair,Pitt,2009,30,PF,72,26.6,0.568,0.568,0.0,0.614,13.6,8.23,0.582,0.568,0.0,0.448,5.4,0.0,0.0
Jon Brockman,Washington,2009,31,PF,131,28.7,0.534,0.534,0.0,0.612,13.8,7.16,0.553,0.534,0.001,0.448,7.5,0.0,0.0
Derrick Brown,Xavier,2009,32,SF,106,25.0,0.573,0.61,0.415,0.718,10.3,4.5,0.64,0.612,0.189,0.509,8.6,0.04,0.286
Jodie Meeks,Kentucky,2009,33,SG,81,27.7,0.436,0.491,0.386,0.89,15.4,7.77,0.598,0.536,0.52,0.381,7.8,0.7,0.318
Marcus Thornton,LSU,2009,34,SG,66,32.7,0.455,0.51,0.387,0.771,20.4,4.46,0.572,0.537,0.428,0.306,7.1,1.6,0.374
Chase Budinger,Arizona,2009,35,SF,100,35.4,0.469,0.524,0.383,0.782,17.0,9.93,0.58,0.544,0.389,0.31,9.2,1.24,0.369
A.J. Price,Uconn,2009,36,PG,99,29.4,0.413,0.447,0.365,0.722,13.0,7.14,0.528,0.489,0.417,0.357,4.4,1.07,0.345
Lester Hudson,Tennessee,2009,37,SG,65,36.5,0.456,0.53,0.372,0.858,26.6,-5.64,0.582,0.543,0.468,0.255,9.1,0.2,0.312
John Wall,Kentucky,2010,1,PG,37,34.8,0.461,0.509,0.325,0.754,16.6,6.82,0.562,0.503,0.26,0.53,3.7,0.49,0.296
Evan Turner,Ohio State,2010,2,SG,101,32.8,0.502,0.525,0.362,0.758,15.0,7.86,0.577,0.527,0.139,0.473,9.3,0.18,0.318
Derrick Favors,Georgia Tech,2010,3,PF,36,27.5,0.611,0.613,0.0,0.629,12.4,9.02,0.621,0.611,0.003,0.488,2.3,0.0,0.0
Wesley Johnson,Syracuse,2010,4,SG,93,31.6,0.454,0.516,0.349,0.768,13.9,6.79,0.555,0.518,0.367,0.306,5.9,1.3,0.356
DeMarcus Cousins,Kentucky,2010,5,C,38,23.5,0.558,0.565,0.167,0.604,15.1,6.82,0.579,0.56,0.016,0.726,3.8,0.04,0.167
Ekpe Udoh,Baylor,2010,6,C,103,27.2,0.472,0.485,0.289,0.649,8.4,7.6,0.511,0.481,0.062,0.357,3.7,0.0,0.0
Greg Monroe,Georgetown,2010,7,C,65,32.6,0.543,0.558,0.273,0.677,14.5,9.26,0.585,0.55,0.052,0.565,6.0,0.0,0.0
Al-Farouq Aminu,Wake Forest,2010,8,SF,62,30.1,0.476,0.522,0.238,0.687,14.4,8.1,0.541,0.495,0.16,0.534,3.9,0.56,0.315
Gordon Hayward,Butler,2010,9,SF,69,33.1,0.47,0.569,0.369,0.824,14.4,3.57,0.624,0.562,0.495,0.536,7.9,0.49,0.473
Paul George,Fresno State,2010,10,SG,63,33.9,0.447,0.485,0.396,0.803,15.5,1.13,0.579,0.532,0.43,0.369,5.3,0.67,0.297
Cole Aldrich,Kansas,2010,11,C,111,21.0,0.574,0.574,0.0,0.729,9.4,8.12,0.612,0.574,0.0,0.515,7.4,0.0,0.0
Xavier Henry,Kansas,2010,12,SG,36,27.5,0.458,0.492,0.418,0.783,13.4,8.25,0.591,0.555,0.466,0.325,2.8,0.05,0.118
Ed Davis,UNC,2010,13,PF,61,22.2,0.548,0.548,0.0,0.623,9.2,9.09,0.572,0.548,0.0,0.595,2.6,0.0,0.0
Patrick Patterson,Kentucky,2010,14,PF,97,34.0,0.585,0.604,0.329,0.734,16.1,6.24,0.625,0.597,0.069,0.396,12.0,0.0,0.0
Larry Sanders,VCU,2010,15,C,101,23.5,0.52,0.526,0.25,0.577,10.3,-0.69,0.538,0.523,0.02,0.456,4.7,0.0,0.0
Luke Babbitt,Nevada,2010,16,SF,68,34.9,0.48,0.494,0.421,0.893,19.4,1.98,0.591,0.52,0.192,0.424,8.4,0.12,0.188
Eric Bledsoe,Kentucky,2010,17,PG,37,30.3,0.462,0.516,0.383,0.667,11.3,6.82,0.566,0.54,0.41,0.394,1.5,0.4,0.276
Avery Bradley,Texas,2010,18,PG,34,29.5,0.432,0.457,0.375,0.545,11.6,7.38,0.496,0.489,0.304,0.179,1.6,0.0,0.0
James Anderson,Oklahoma State,2010,19,SF,101,32.8,0.46,0.536,0.375,0.797,17.9,7.36,0.596,0.549,0.473,0.416,11.6,0.69,0.391
Craig Brackins,Iowa State,2010,20,PF,96,31.8,0.445,0.48,0.292,0.726,16.0,7.34,0.514,0.472,0.184,0.349,5.5,0.0,0.0
Elliot Williams,Memphis,2010,21,SG,68,24.9,0.454,0.524,0.345,0.719,11.1,6.36,0.573,0.521,0.388,0.586,4.3,0.33,0.296
Trevor Booker,Clemson,2010,22,PF,134,28.4,0.559,0.574,0.324,0.624,12.9,7.85,0.584,0.569,0.058,0.428,10.5,0.0,0.0
Damion James,Texas,2010,23,SF,142,29.3,0.479,0.506,0.364,0.64,13.5,7.54,0.541,0.514,0.192,0.428,7.8,0.0,0.0
Dominique Jones,South Florida,2010,24,SG,95,36.5,0.442,0.512,0.323,0.737,18.9,7.32,0.551,0.502,0.37,0.459,9.1,0.0,0.0
Quincy Pondexter,Washington,2010,25,SF,136,27.3,0.503,0.528,0.327,0.768,13.1,7.55,0.572,0.524,0.127,0.429,9.7,0.27,0.36
Jordan Crawford,Xavier,2010,26,SG,65,29.3,0.455,0.494,0.384,0.765,15.5,6.01,0.555,0.523,0.352,0.269,5.1,0.79,0.258
Greivis Vasquez,Maryland,2010,27,SG,136,33.6,0.425,0.487,0.329,0.828,16.0,7.95,0.537,0.49,0.395,0.3,9.5,0.36,0.291
Daniel Orton,Kentucky,2010,28,PF,38,13.2,0.527,0.539,0.0,0.524,3.4,6.82,0.533,0.527,0.022,0.692,0.3,0.0,0.0
Lazar Hayward,Marquette,2010,29,SF,138,26.4,0.452,0.497,0.357,0.789,13.5,7.79,0.55,0.509,0.32,0.306,8.7,0.4,0.283
Armon Johnson,Nevada,2010,30,PG,101,32.7,0.467,0.514,0.289,0.75,14.3,1.28,0.536,0.497,0.207,0.318,6.0,0.13,0.417
Landry Fields,Stanford,2010,31,SF,129,23.6,0.463,0.51,0.342,0.676,10.8,7.35,0.543,0.511,0.279,0.401,6.4,1.05,0.393
Devin Ebanks,West Virginia,2010,32,PF,69,32.1,0.463,0.51,0.114,0.736,11.2,9.3,0.527,0.47,0.117,0.49,3.9,0.1,0.4
