Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Troy Murphy,Notre Dame,2001,7,PF,94,35.1,0.496,0.522,0.335,0.777,21.4,6.35,0.582,0.52,0.139,0.551,11.5,0.04,0.333
Steven Hunter,DePaul,2001,8,C,63,24.6,0.586,0.589,0.0,0.6,9.9,7.92,0.594,0.586,0.005,0.465,3.8,0.0,0.0
Kirk Haston,Indiana,2001,9,PF,96,26.8,0.473,0.48,0.366,0.717,14.6,10.88,0.523,0.484,0.062,0.354,4.5,0.0,0.0
Michael Bradley,Villanova,2001,10,PF,100,27.4,0.677,0.695,0.353,0.541,10.9,8.74,0.662,0.687,0.052,0.548,8.8,0.0,0.0
Jason Collins,Stanford,2001,11,C,73,22.1,0.612,0.623,0.444,0.716,10.8,8.87,0.662,0.626,0.063,0.813,6.4,0.01,0.5
Zach Randolph,Michigan State,2001,12,PF,33,19.8,0.587,0.59,0.0,0.635,10.8,9.54,0.604,0.587,0.004,0.536,2.3,0.0,0.0
Brendan Haywood,UNC,2001,13,C,141,29.2,0.637,0.637,0.0,0.591,10.0,11.05,0.634,0.637,0.0,0.656,10.6,0.0,0.0
Joseph Forte,UNC,2001,14,SG,69,33.9,0.454,0.489,0.368,0.81,18.7,11.79,0.544,0.507,0.286,0.259,5.3,0.0,0.0
Jeryl Sasser,SMU,2001,15,SG,117,35.0,0.394,0.438,0.28,0.71,17.0,2.13,0.485,0.433,0.278,0.421,2.9,0.0,0.0
Brandon Armstrong,Pepperdine,2001,16,SG,65,30.4,0.439,0.467,0.391,0.824,18.1,2.56,0.544,0.511,0.37,0.214,5.0,0.14,0.294
Gerald Wallace,Alabama,2001,17,SF,36,22.9,0.438,0.511,0.175,0.568,9.8,6.27,0.485,0.457,0.219,0.538,0.4,0.0,0.0
Samuel Dalembert,Seton Hall,2001,18,C,59,21.4,0.537,0.537,0.0,0.539,7.1,5.57,0.542,0.537,0.0,0.393,1.6,0.0,0.0
Jamaal Tinsley,Iowa State,2001,19,PG,68,32.5,0.388,0.405,0.327,0.685,12.5,6.0,0.477,0.423,0.217,0.459,1.1,0.53,0.24
Trenton Hassell,Austin Peay,2001,20,SF,84,36.2,0.471,0.523,0.345,0.779,19.4,-3.83,0.565,0.521,0.288,0.362,8.2,0.77,0.364
Gilbert Arenas,Arizona,2001,21,PG,70,30.5,0.466,0.523,0.361,0.738,15.8,11.12,0.563,0.53,0.349,0.333,5.4,0.83,0.345
Will Solomon,Clemson,2001,22,PG,94,29.1,0.392,0.418,0.366,0.717,15.2,7.43,0.519,0.482,0.49,0.326,4.5,0.74,0.284
Terence Morris,Maryland,2001,23,PF,136,26.5,0.495,0.542,0.338,0.78,12.7,10.41,0.574,0.534,0.23,0.339,9.1,0.22,0.192
Brian Scalabrine,USC,2001,24,C,92,33.0,0.513,0.538,0.343,0.77,15.7,9.08,0.582,0.535,0.13,0.427,8.0,0.11,0.3
Earl Watson,UCLA,2001,25,PG,129,33.9,0.45,0.507,0.341,0.654,11.2,10.51,0.535,0.508,0.339,0.372,5.8,0.25,0.364
Bobby Simmons,DePaul,2001,26,SF,93,31.6,0.428,0.49,0.331,0.783,13.6,7.91,0.552,0.493,0.389,0.456,5.9,0.13,0.286
Sean Lampley,California,2001,27,SF-PF,123,30.5,0.494,0.512,0.21,0.671,14.4,8.39,0.539,0.5,0.061,0.487,7.3,0.0,0.0
Loren Woods,Arizona,2001,28,C,107,26.0,0.493,0.525,0.2,0.796,11.1,10.79,0.553,0.494,0.011,0.541,5.6,0.0,0.0
Ruben Boumtje-Boumtje,Georgetown,2001,29,C,101,24.4,0.485,0.487,0.0,0.664,9.6,4.94,0.533,0.485,0.003,0.599,3.7,0.0,0.0
Jarron Collins,Stanford,2001,30,PF,129,21.6,0.52,0.527,0.25,0.669,8.4,8.87,0.569,0.523,0.023,0.709,5.7,0.0,0.0
Kenny Satterfield,Cincinnati,2001,31,PG,68,31.5,0.403,0.437,0.323,0.78,11.9,8.17,0.511,0.452,0.303,0.404,2.5,0.19,0.259
Jay Williams,Duke,2002,1,PG,108,33.1,0.453,0.514,0.393,0.671,19.3,10.0,0.572,0.552,0.506,0.322,10.3,0.87,0.322
Mike Dunleavy,Duke,2002,2,SF,104,28.8,0.475,0.564,0.371,0.698,13.2,10.0,0.58,0.56,0.46,0.265,7.0,0.63,0.347
Drew Gooden,Kansas,2002,3,SF-PF,98,26.2,0.493,0.503,0.306,0.698,15.6,9.39,0.537,0.501,0.051,0.379,5.2,0.2,0.292
Dajuan Wagner,Memphis,2002,4,SG,36,31.8,0.41,0.453,0.317,0.722,21.2,4.72,0.504,0.461,0.321,0.355,1.7,1.17,0.316
Chris Wilcox,Maryland,2002,5,PF,70,16.6,0.52,0.522,0.0,0.589,7.9,10.19,0.536,0.52,0.005,0.418,1.9,0.0,0.0
Caron Butler,UConn,2002,6,SF,63,34.5,0.465,0.482,0.364,0.768,18.0,6.43,0.544,0.491,0.139,0.426,4.6,0.44,0.318
Jared Jeffries,Indiana,2002,7,SF,70,32.6,0.45,0.472,0.325,0.643,14.4,11.56,0.515,0.475,0.153,0.521,3.0,0.15,0.5
Melvin Ely,Fresno State,2002,8,C,124,32.5,0.577,0.578,0.333,0.648,15.7,4.4,0.595,0.578,0.002,0.42,11.3,0.0,0.0
Marcus Haislip,Tennessee,2002,9,PF,89,17.1,0.53,0.568,0.373,0.705,8.4,9.77,0.596,0.566,0.196,0.422,4.4,0.08,0.25
Fred Jones,Oregon,2002,10,SG,125,28.2,0.481,0.568,0.338,0.805,13.2,8.05,0.595,0.545,0.378,0.42,9.7,0.11,0.286
Juan Dixon,Maryland,2002,11,PG,141,28.4,0.468,0.513,0.389,0.85,16.1,9.73,0.582,0.538,0.359,0.292,12.2,0.6,0.298
Curtis Borchardt,Stanford,2002,12,C,66,21.6,0.534,0.551,0.375,0.691,10.2,8.67,0.592,0.552,0.092,0.631,3.8,0.0,0.0
Ryan Humphrey,Notre Dame,2002,13,PF,123,30.7,0.495,0.497,0.364,0.536,13.3,5.21,0.51,0.498,0.017,0.472,4.1,0.0,0.0
Kareem Rush,Missouri,2002,14,PG,84,30.2,0.445,0.464,0.422,0.777,18.9,8.07,0.569,0.537,0.434,0.269,7.9,0.25,0.279
Casey Jacobsen,Stanford,2002,15,SF,95,31.8,0.47,0.505,0.427,0.771,18.1,8.67,0.609,0.566,0.447,0.454,11.3,0.72,0.315
Tayshaun Prince,Kentucky,2002,16,SF,135,29.8,0.457,0.556,0.329,0.743,13.1,11.42,0.557,0.529,0.438,0.261,8.4,0.48,0.426
Frank Williams,Illinois,2002,17,PG,101,31.7,0.396,0.433,0.326,0.807,14.3,10.3,0.515,0.453,0.351,0.39,4.3,0.29,0.375
John Salmons,Miami (FL),2002,18,PG,124,30.8,0.466,0.523,0.321,0.805,10.4,6.25,0.566,0.511,0.281,0.408,7.1,0.16,0.323
Chris Jefferies,Fresno State,2002,19,SF,88,28.0,0.436,0.5,0.338,0.628,12.9,5.45,0.53,0.503,0.397,0.446,3.9,0.35,0.333
